x	y	new_x	new_y	pixel_x	pixel_yselected
2	2	1.8957058993252838	1.935720632742117	5177	2474	0
3	2	2.751240539550781	1.956189404736768	5792	2490	0
4	2	3.9096489646218036	1.9012928180866413	6627	2449	0
5	2	4.921164495294744	1.9116918202993032	7356	2458	0
6	2	5.877726190740412	1.9402085725251619	8045	2474	0
7	2	6.952307683771308	1.885589668342659	8823	2433	0
8	2	7.839797696200285	1.903923240867821	9462	2449	0
9	2	8.91445478959517	1.8608212857633024	10240	2417	0
10	2	9.820833795720882	1.8779217831723325	10887	2433	0
11	2	10.81133866743608	1.8560178602063977	11600	2417	0
12	2	12.06780145818537	1.9565939001134924	12509	2490	0
13	2	12.978820523348723	1.9119753450960726	13165	2458	0
14	2	13.88627596768466	1.913664809218398	13820	2458	0
15	2	15.021040205522018	1.9051473806570243	14639	2449	0
16	2	15.946625865589489	1.9252989485457137	15303	2466	0
17	2	17.01399064497514	1.9085709855363175	16073	2449	0
18	2	18.03503251509233	1.9066117432740357	16810	2449	0
19	2	18.980084228515626	1.879540795678491	17490	2433	0
20	2	19.97560369318182	1.8635582451347832	18211	2417	0
21	2	20.90982998934659	1.8769224012220227	18883	2433	0
22	2	21.936163884943184	1.8403483897716075	19620	2400	0
23	2	23.179832874644887	1.931060859748909	20521	2466	0
24	2	24.0982177734375	1.914579305562887	21185	2458	0
25	2	24.989189564098012	1.8938940237234305	21823	2441	0
26	2	26.064260031960227	1.9034156455649986	22602	2449	0
27	2	27.119577303799716	1.8638314599389427	23364	2417	0
28	2	28.156761585582387	1.8973066312772733	24109	2441	0
29	2	29.10638816139915	1.8749449446394637	24789	2425	0
30	2	30.081793767755684	1.843447917216533	25494	2408	0
31	2	31.12320057262074	1.837851653227935	26247	2400	0
32	2	32.057862437855114	1.84433938791086	26919	2408	0
2	3	1.818499200994318	2.941028079471073	5120	3203	0
3	3	2.8220295299183236	2.9184199840098892	5841	3187	0
4	3	3.892262961647727	2.914214538024353	6619	3187	0
5	3	4.88350996537642	2.924902220030089	7332	3195	0
6	3	5.889858315207741	2.902788316881335	8053	3178	0
7	3	6.952234164151279	2.8890887423678566	8823	3162	0
8	3	7.839116599343041	2.8997382774009366	9462	3170	0
9	3	8.860057206587358	2.875010103792758	10199	3154	0
10	3	9.858011141690342	2.8720133326075103	10920	3154	0
11	3	10.804240556196733	2.8633000141865503	11600	3146	0
12	3	12.067551768909802	2.9405366364900063	12509	3203	0
13	3	12.994806185635655	2.9373601277669277	13181	3203	0
14	3	13.86973544034091	2.927227467030019	13812	3195	0
15	3	15.007034024325286	2.8951300543707776	14631	3170	0
16	3	15.971037153764206	2.9151757730020065	15327	3187	0
17	3	17.04441805752841	2.8628181938652526	16097	3146	0
18	3	18.019551780007102	2.889664039955483	16802	3170	0
19	3	19.011095636541196	2.8679704408387887	17514	3154	0
20	3	19.922528076171876	2.853558102169553	18170	3138	0
21	3	20.998483553799716	2.860473014212944	18948	3146	0
22	3	21.889247270063922	2.89248072993648	19587	3170	0
23	3	23.175607577237216	2.943116883973818	20521	3203	0
24	3	24.10629383433949	2.928483911462733	21185	3195	0
25	3	24.990757057883524	2.9179013913816165	21823	3187	0
26	3	26.088466020063922	2.9142702119844457	22618	3187	0
27	3	27.090460759943184	2.8692626265792165	23339	3154	0
28	3	28.1187255859375	2.8793451120187576	24084	3162	0
29	3	29.17324940074574	2.863576665654913	24838	3146	0
30	3	30.0914345481179	2.837273812508798	25502	3129	0
31	3	31.09249988902699	2.826862438305005	26223	3121	0
32	3	32.04332774769176	2.853348809319574	26911	3138	0
2	4	1.8963758988813917	3.9467152775944894	5177	3932	0
3	4	2.7339280561967327	3.9525517644108956	5784	3940	0
4	4	3.9367145885120736	3.9046295440948766	6652	3908	0
5	4	4.901654052734375	3.9391645826734942	7340	3932	0
6	4	5.926156200062144	3.9429713756114517	8086	3932	0
7	4	6.8863009366122165	3.9116777987093543	8774	3908	0
8	4	7.926982255415484	3.8819657746735996	9527	3891	0
9	4	8.892993996360087	3.9032236047693205	10224	3908	0
10	4	9.825439175692473	3.8769939525707353	10895	3883	0
11	4	10.828884887695313	3.854908230068448	11616	3867	0
12	4	12.03457197709517	3.9718964035446582	12485	3957	0
13	4	13.021620039506393	3.9246120281047654	13197	3916	0
14	4	13.85167458274148	3.9226455688476567	13795	3916	0
15	4	15.01554842862216	3.939420270490217	14631	3932	0
16	4	15.979941350763495	3.935793902422931	15327	3924	0
17	4	17.039762739701704	3.93932851155599	16097	3932	0
18	4	18.032541170987216	3.9034827292502468	16810	3908	0
19	4	18.938164173473012	3.899808247884115	17465	3899	0
20	4	20.02695367986506	3.873287166561093	18244	3883	0
21	4	21.002406449751422	3.891141324429899	18948	3891	0
22	4	21.891852361505684	3.9078118951471006	19595	3908	0
24	4	23.761363636363637	4.006756756756756	20944	3983	0
25	4	25.102662242542614	3.9284837739961644	21905	3924	0
26	4	26.10159967595881	3.942219433483777	22626	3932	0
27	4	27.140803666548297	3.906360935520482	23372	3908	0
28	4	28.182368607954547	3.9087538848052157	24125	3908	0
29	4	29.04142733487216	3.921714576514992	24748	3916	0
30	4	30.092033802379262	3.8842322547156534	25502	3891	0
31	4	31.126330011541196	3.864963565860783	26247	3875	0
32	4	32.06893477006392	3.8588318695893165	26927	3875	0
2	5	1.8741847645152696	4.949164450705589	5161	4661	0
3	5	2.78873554576527	4.930932259774423	5825	4653	0
4	5	3.938558821244673	4.919363073400549	6652	4645	0
5	5	4.921502962979403	4.922515181807785	7356	4645	0
6	5	5.930235151811079	4.930152824333122	8086	4653	0
7	5	6.915800337357956	4.904311858855927	8798	4628	0
8	5	7.882867709073154	4.886234317813908	9495	4620	0
