x	y	new_x	new_y	pixel_x	pixel_y	selected
29	4	29.080156539187072	3.99116064507865	24748	3916	0
30	4	30.118324227648067	3.955137244254484	25494	3891	0
31	4	31.154000458250284	3.937283776800728	26239	3875	0
32	4	32.112146746867886	3.933812573351667	26927	3875	0
2	5	1.8489663508595535	5.021797761788817	5161	4669	0
3	5	2.7675037427480778	5.001109443972464	5825	4653	0
4	5	3.9131391868504415	4.984686744587304	6644	4645	0
5	5	4.903765493753559	4.994314150959922	7356	4645	0
6	5	5.906891494785735	5.002412941423767	8077	4653	0
7	5	6.898529261282746	4.970577496584221	8790	4628	0
8	5	7.908883826879271	4.923766816143498	9524	4601	0
9	5	8.883943110229213	4.959541218163187	10224	4620	0
10	5	9.917995444191344	4.955156950672645	10969	4624	0
11	5	10.812800031588127	4.9405238403867715	11608	4612	0
12	5	12.039827733485193	5.006661453589196	12493	4653	0
13	5	12.984877184474659	5.001006122127243	13173	4653	0
14	5	13.894966977060793	4.992732163501962	13828	4645	0
15	5	14.983875874234766	4.978207575366102	14606	4637	0
16	5	15.98724240105353	5.000195969380606	15327	4653	0
17	5	17.014632309759396	4.9573126138593056	16073	4620	0
18	5	18.03496216098377	4.957365985408493	16802	4620	0
19	5	18.96188458766373	4.9579051749054095	17474	4620	0
20	5	20.020020087378988	4.8883250967804095	18227	4571	0
21	5	20.99812584531606	4.929297340290429	18932	4604	0
22	5	21.8968219452947	4.953725772053672	19579	4620	0
23	5	23.22184374555097	4.980384860872688	20537	4637	0
24	5	24.11457258150627	4.999820315784404	21176	4653	0
25	5	25.005126953125004	4.978247946153307	21815	4637	0
26	5	26.127495350761674	4.946188751357553	22626	4612	0
27	5	27.1661135037016	4.942289891264364	23372	4612	0
28	5	28.16614742756976	4.976167824236267	24093	4637	0
29	5	29.18160558887386	4.952976517613159	24822	4620	0
30	5	30.159155217824605	4.915778600581558	25526	4588	0
31	5	31.11713744839123	4.904297559250631	26214	4579	0
32	5	32.13499530627136	4.901460656136141	26943	4579	0
2	6	1.8190855404239044	6.036987578387752	5136	5407	0
3	6	2.8537377985300396	6.05029967440618	5882	5423	0
4	6	3.8447721650768796	6.04890927712479	6595	5415	0
5	6	4.871382798040646	6.011176960350687	7332	5390	0
6	6	5.923158267635962	6.016822712303812	8094	5399	0
7	6	6.876327201825883	5.997088239866522	8774	5382	0
8	6	7.8998005721455025	5.991166734909263	9511	5374	0
9	6	8.853404677267225	5.9776890502382285	10199	5366	0
10	6	9.888359330509683	5.968997014477648	10945	5358	0
11	6	10.815456937820331	5.94738837956313	11608	5341	0
12	6	12.06398597665148	6.0012053759108746	12509	5382	0
