x	y	new_x	new_y	pixel_x	pixel_y	selected
16	4	15.931507783777574	3.949432098113739	8545	2542	0
17	4	17.01043673554157	3.985037313925254	8934	2554	0
18	4	17.831376157734727	3.9945857417476076	9233	2558	0
19	4	18.92604030419259	4.010540798977689	9630	2562	0
20	4	19.841639454008764	3.9984932289467205	9962	2558	0
21	4	20.832463743460124	3.9512425328160194	10318	2542	0
22	4	21.895911583533653	3.915123879372537	10703	2530	0
23	4	23.109776561616233	3.8950695690808	11146	2521	0
24	4	23.871163899003108	3.9330852611644853	11420	2534	0
25	4	25.10409891119909	3.9370003090248455	11867	2538	0
28	4	27.97566768594457	3.9947053376618813	12907	2558	0
30	4	29.98263895026159	3.9868766166068417	13632	2554	0
31	4	30.829334656037897	3.9740681691212703	13939	2550	0
32	4	31.983595075650452	3.9265927151516755	14357	2534	0
2	5	1.902211875397695	4.959712397944821	3466	2911	0
3	5	2.9983397608968456	4.980058137360995	3863	2915	0
5	5	4.969284402838659	4.970513146202845	4576	2911	0
11	5	10.795708703778988	4.943635682801943	6685	2902	0
12	5	12.013416687287895	4.9243291906408375	7128	2894	0
13	5	12.959940776566034	4.954635070250916	7468	2906	0
14	5	13.978878521811367	4.985611786713473	7836	2919	0
15	5	14.874333308293266	4.943182730459953	8164	2902	0
17	5	16.967115583462952	4.995051615947003	8922	2923	0
19	5	18.97503413549915	5.019218925957208	9647	2931	0
20	5	19.845715829150166	4.98391544926274	9962	2919	0
22	5	21.90076125477234	4.902566858240077	10708	2886	0
23	5	22.972936293658087	4.867684029244089	11097	2874	0
26	5	26.10025342017817	4.933570380683419	12227	2898	0
28	5	28.063721255479354	4.955631015537023	12940	2906	0
30	5	29.952035757211537	4.972417745504294	13620	2915	0
31	5	30.925458122702207	4.954626134923988	13976	2906	0
32	5	31.815836772659786	4.9065657607069975	14296	2890	0
2	6	2.0154666123886456	5.950339102530265	3507	3267	0
6	6	5.922776442307693	6.0117124265378665	4920	3291	0
7	6	6.89174545080953	5.99230077245214	5272	3283	0
8	6	7.825008892905117	6.0144115826031115	5608	3291	0
9	6	8.820457769195416	6.010867007143863	5968	3291	0
10	6	9.77626003075509	5.962885676203547	6317	3275	0
11	6	10.898088964401868	5.928123817787514	6722	3263	0
12	6	12.019290975855487	5.904909838427295	7128	3250	0
