x	y	new_x	new_y	pixel_x	pixel_y	selected
21	3	20.938530571035553	2.9319961135451855	18022	3842	0
22	3	21.924117456440463	2.983713442140871	18735	3875	0
23	3	22.979281664432847	3.044027929907446	19497	3924	0
24	3	24.048060983352144	2.986372045568517	20275	3875	0
25	3	24.937868139813776	3.0209256421338324	20922	3908	0
26	3	26.018912356271162	2.9769542109858875	21709	3875	0
27	3	27.027301314722067	2.9821013029631187	22438	3875	0
28	3	28.09504730706829	2.97796699592659	23216	3875	0
29	3	28.93796072587472	2.862312591827667	23822	3785	0
30	3	30.043804780086067	2.9607616802593606	24625	3858	0
31	3	31.00072580858493	2.9526033831072276	25321	3850	0
32	3	31.987949483281604	2.942609907270551	26042	3850	0
2	4	1.9434144857505637	3.9266499012440175	4235	4563	0
3	4	2.8345567001446113	3.963209822371199	4882	4588	0
4	4	3.970269403393059	4.014157681851773	5702	4628	0
5	4	4.938966221518764	4.006233421531883	6406	4620	0
6	4	5.984851845769257	3.997658257011895	7168	4612	0
7	4	6.897666362822729	3.9725376163517034	7832	4596	0
8	4	7.976614304105531	3.9717162536071227	8610	4596	0
9	4	8.871921513473476	3.9529362584019565	9265	4579	0
10	4	9.889450589905474	3.9567207130225928	10002	4588	0
11	4	10.910878751939899	3.9928929784276463	10740	4612	0
12	4	11.90107014055446	4.062457247897312	11461	4661	0
13	4	12.984690784600737	3.9618495906795466	12247	4588	0
14	4	13.859466483845935	3.990971883138021	12878	4612	0
15	4	14.915651618492523	3.933744550825239	13648	4571	0
16	4	15.944184934043454	3.960690060177365	14393	4588	0
17	4	17.01573219040985	3.991129969691371	15172	4612	0
18	4	17.961778490053614	3.9674657873205237	15860	4596	0
19	4	19.04851289150677	3.984261452614724	16646	4604	0
20	4	19.902164640060665	3.916282860008446	17269	4555	0
21	4	20.921843035764674	3.918196394636824	18006	4555	0
22	4	21.90242862055587	3.9704714938327	18719	4596	0
23	4	22.983423237337757	3.960536784953899	19505	4588	0
24	4	24.096147868757054	3.897968189136402	20308	4538	0
25	4	24.909177483069982	3.9681276888460726	20898	4596	0
26	4	25.96871748465717	3.9341383925429336	21668	4571	0
27	4	27.00733468979261	3.947507703626478	22422	4579	0
28	4	28.077632309889957	3.972813236820805	23200	4596	0
29	4	29.024426737972632	3.972105971327773	23888	4596	0
30	4	30.080555384099892	3.96498932709565	24658	4588	0
31	4	31.002968816132903	3.9188974741342903	25321	4555	0
32	4	31.968498143869923	3.911913485140414	26026	4555	0
2	5	2.00216074586392	4.981508167903223	4276	5333	0
3	5	2.820145238872038	4.952954678922087	4866	5308	0
4	5	3.9190680716968824	4.983391151771889	5669	5333	0
5	5	4.934251496807986	5.006281397364162	6406	5349	0
6	5	6.011661848150042	5.024976850629927	7184	5366	0
7	5	6.922673554775678	4.992002744932433	7848	5341	0
8	5	7.998399583803613	5.011440517666104	8626	5349	0
9	5	8.915370829218396	4.969878875457489	9290	5325	0
10	5	9.90803806830206	4.975339047543638	10011	5325	0
11	5	10.888653964006068	4.994232452667512	10723	5341	0
12	5	11.948173299061796	5.06711516509185	11493	5390	0
13	5	12.988248183549665	4.964024861653646	12247	5317	0
14	5	13.887696965822515	4.990330464131124	12902	5333	0
15	5	15.002257336343115	4.957207207207207	13715	5317	0
16	5	15.957324714746756	4.972595214843751	14402	5325	0
17	5	16.99773715258183	4.987999031135629	15155	5333	0
18	5	17.96282972762063	4.982212375950169	15860	5333	0
19	5	19.0294872826432	4.976499265378661	16638	5325	0
20	5	19.944517251869357	4.940830814945806	17302	5300	0
21	5	20.946281898102427	4.9116418512017885	18022	5276	0
22	5	21.937716034142213	4.971756668778154	18743	5325	0
23	5	22.948069690850737	5.068859615841428	19481	5390	0
24	5	24.07392996966704	4.985114982536247	20292	5333	0
25	5	24.956999836872182	4.994778882275831	20939	5341	0
26	5	26.062314827878104	4.949605993322424	21742	5308	0
27	5	26.998439814651526	4.952730608416034	22422	5308	0
28	5	28.0870700259241	4.989926999753661	23208	5333	0
29	5	28.989244034812362	5.035487544429196	23863	5366	0
30	5	30.068268442261573	4.925079208236557	24650	5292	0
31	5	31.005355111632337	4.922606872008728	25330	5284	0
32	5	32.002253478590575	4.964042732307504	26051	5317	0
2	6	1.9917066587013257	5.967431145745355	4268	6046	0
3	6	2.848623030341775	5.988164540883657	4891	6062	0
4	6	3.9627598747442865	5.998906865850225	5702	6070	0
5	6	4.960332659512557	6.04158336192638	6423	6103	0
6	6	5.9742554262045005	5.98644139745214	7160	6062	0
7	6	6.91031634673039	6.007249711870073	7840	6078	0
8	6	7.984248520827455	6.021203255868173	8618	6087	0
9	6	8.888333494991533	5.983614397478533	9273	6062	0
10	6	9.915571707904205	5.987917788393863	10019	6062	0
11	6	10.87159167563135	6.021931141346425	10715	6087	0
12	6	11.98197547792043	6.084745802320875	11518	6136	0
13	6	13.009935641665495	6.025161605697494	12263	6087	0
14	6	13.867801984868791	6.0434315999348955	12886	6103	0
15	6	15.00800208098194	6.000552340670748	13713	6070	0
16	6	15.937414578336627	6.001815658431869	14393	6070	0
17	6	16.991555104137277	6.017297143334741	15155	6087	0
18	6	17.949738168824073	6.00557330707172	15852	6078	0
19	6	19.053154594473053	6.00876184411951	16654	6078	0
20	6	19.95676561618228	5.970750276032868	17310	6054	0
21	6	20.96544115053612	5.973358016830306	18039	6054	0
22	6	21.958005056962474	5.9973218763196785	18760	6070	0
23	6	23.001000811230252	6.057258674690315	19513	6111	0
24	6	24.03798949368651	5.974747116501266	20267	6054	0
25	6	24.91791529257196	6.011898831204251	20906	6078	0
26	6	26.04489156408719	5.983017105240005	21725	6062	0
27	6	27.022953076502542	5.970728968714808	22438	6054	0
28	6	28.109202503350737	5.977726017032658	23224	6054	0
29	6	28.9826362558197	5.959963961764498	23855	6046	0
30	6	30.062735322904913	5.996943155924479	24642	6070	0
31	6	31.01640206158296	5.949482823277378	25338	6038	0
32	6	32.00203854666338	5.939449825802365	26051	6029	0
2	7	2.012859542536681	6.9695074407904	4284	6775	0
3	7	2.8698372248871338	6.974620509792019	4907	6783	0
4	7	3.970120604366535	7.023258243595158	5702	6816	0
5	7	4.949400064369357	7.037360938819679	6414	6824	0
6	7	6.008691378694625	7.076911445136543	7184	6857	0
7	7	6.967774815268765	7.032865094708967	7881	6824	0
8	7	8.034690013050227	7.0254295280387815	8651	6816	0
9	7	8.92837421081405	7.007765761366836	9306	6808	0
10	7	9.901026603061512	6.989204338004997	10011	6791	0
11	7	10.84556149037105	7.02971092430321	10691	6824	0
12	7	12.004774795428895	7.105206876187712	11534	6873	0
13	7	13.02844596501129	7.016299685916385	12280	6808	0
14	7	13.903708016630219	7.032063664616765	12911	6824	0
15	7	15.012467429546417	7.006313427074535	13722	6799	0
16	7	15.962820634346784	6.994766922684404	14410	6791	0
17	7	17.05815093511922	7.008692973368877	15204	6808	0
18	7	17.998137807738434	7.00388714214703	15884	6799	0
19	7	19.05076692120485	7.003115267366977	16646	6799	0
20	7	19.97445616711343	6.969098477750212	17318	6775	0
21	7	20.968273843115124	6.96581371410473	18039	6775	0
22	7	21.969677513931998	7.017360927822354	18768	6808	0
23	7	23.014855653922126	7.047752724037514	19530	6832	0
24	7	24.06339554969667	6.981234713717624	20292	6783	0
25	7	24.950601478731663	7.006694209468257	20931	6799	0
26	7	26.06855336484199	6.970200959626619	21742	6775	0
27	7	27.047951312958524	6.979363106392525	22454	6783	0
28	7	28.135611575021166	7.005121591928843	23241	6799	0
29	7	29.0261517044653	7.0359965831309825	23888	6824	0
30	7	30.072473392529634	6.982392869554125	24650	6783	0
31	7	31.000229811829854	6.939376143721847	25321	6758	0
32	7	31.98080713000847	6.9340293815544065	26034	6750	0
2	8	1.98550738814722	7.977567655546171	4260	7512	0
3	8	2.836026090531533	8.012473853858742	4882	7537	0
4	8	3.9821099481518063	8.034924893765835	5710	7553	0
5	8	5.0315240382071815	8.00160231031813	6472	7528	0
6	8	6.0213193183020595	8.049981606973184	7193	7561	0
7	8	6.886756500864137	8.016441826347831	7823	7537	0
8	8	7.9775456757900685	8.009408349389428	8610	7537	0
9	8	8.87630970698716	7.989989821975295	9265	7520	0
10	8	9.90219632874224	7.995008726377744	10011	7520	0
11	8	10.907359930516368	8.048042641029701	10740	7561	0
12	8	11.981688902017497	8.120862118832699	11518	7610	0
13	8	13.026592866023565	8.030041393932995	12280	7545	0
14	8	13.875207491975873	8.052684199702632	12894	7561	0
15	8	15.041578305763261	8.00883167713612	13738	7528	0
16	8	16.007628430093117	8.006130459072352	14442	7528	0
17	8	17.070998628844528	8.012569393123592	15213	7537	0
18	8	17.970047858175793	8.002311637809685	15868	7528	0
19	8	19.088016277511286	7.9994626431851765	16679	7528	0
20	8	19.90835357734904	7.985956552866343	17269	7512	0
21	8	20.93911198945401	7.982193405563766	18022	7512	0
22	8	21.969804268658297	8.008759507187852	18768	7528	0
23	8	23.040145977356097	8.091538437851915	19546	7594	0
24	8	24.087335659741814	8.004740672068552	20308	7528	0
25	8	24.959584531073652	8.021956297728392	20939	7545	0
26	8	26.085092101086346	7.991674474767736	21758	7520	0
27	8	27.06330241252822	7.9987821836729305	22462	7528	0
